"","pclass","survived","sex","age","sibsp","parch"
"301","1st",0,"male",61,0,0
"302","1st",0,"male",47,0,0
"303","1st",1,"female",35,0,0
"304","1st",0,"male",64,1,0
"305","1st",1,"female",60,1,0
"306","1st",0,"male",60,0,0
"307","1st",0,"male",54,0,1
"308","1st",0,"male",21,0,1
"309","1st",1,"female",55,0,0
"310","1st",1,"female",31,0,2
"311","1st",0,"male",57,1,1
"312","1st",1,"female",45,1,1
"313","1st",0,"male",50,1,1
"314","1st",0,"male",27,0,2
"315","1st",1,"female",50,1,1
"316","1st",1,"female",21,0,0
"317","1st",0,"male",51,0,1
"318","1st",1,"male",21,0,1
"320","1st",1,"female",31,0,0
"322","1st",0,"male",62,0,0
"323","1st",1,"female",36,0,0
"324","2nd",0,"male",30,1,0
"325","2nd",1,"female",28,1,0
"326","2nd",0,"male",30,0,0
"327","2nd",0,"male",18,0,0
"328","2nd",0,"male",25,0,0
"329","2nd",0,"male",34,1,0
"330","2nd",1,"female",36,1,0
"331","2nd",0,"male",57,0,0
"332","2nd",0,"male",18,0,0
"333","2nd",0,"male",23,0,0
"334","2nd",1,"female",36,0,0
"335","2nd",0,"male",28,0,0
"336","2nd",0,"male",51,0,0
"337","2nd",1,"male",32,1,0
"338","2nd",1,"female",19,1,0
"339","2nd",0,"male",28,0,0
"340","2nd",1,"male",1,2,1
"341","2nd",1,"female",4,2,1
"342","2nd",1,"female",12,2,1
"343","2nd",1,"female",36,0,3
"344","2nd",1,"male",34,0,0
"345","2nd",1,"female",19,0,0
"346","2nd",0,"male",23,0,0
"347","2nd",0,"male",26,0,0
"348","2nd",0,"male",42,0,0
"349","2nd",0,"male",27,0,0
"350","2nd",1,"female",24,0,0
"351","2nd",1,"female",15,0,2
"352","2nd",0,"male",60,1,1
"353","2nd",1,"female",40,1,1
"354","2nd",1,"female",20,1,0
"355","2nd",0,"male",25,1,0
"356","2nd",1,"female",36,0,0
"357","2nd",0,"male",25,0,0
"358","2nd",0,"male",42,0,0
"359","2nd",1,"female",42,0,0
"360","2nd",1,"male",0.833299994,0,2
"361","2nd",1,"male",26,1,1
"362","2nd",1,"female",22,1,1
"363","2nd",1,"female",35,0,0
"365","2nd",0,"male",19,0,0
"366","2nd",0,"female",44,1,0
"367","2nd",0,"male",54,1,0
"368","2nd",0,"male",52,0,0
"369","2nd",0,"male",37,1,0
"370","2nd",0,"female",29,1,0
"371","2nd",1,"female",25,1,1
"372","2nd",1,"female",45,0,2
"373","2nd",0,"male",29,1,0
"374","2nd",1,"female",28,1,0
"375","2nd",0,"male",29,0,0
"376","2nd",0,"male",28,0,0
"377","2nd",1,"male",24,0,0
"378","2nd",1,"female",8,0,2
"379","2nd",0,"male",31,1,1
"380","2nd",1,"female",31,1,1
"381","2nd",1,"female",22,0,0
"382","2nd",0,"female",30,0,0
"384","2nd",0,"male",21,0,0
"386","2nd",1,"male",8,1,1
"387","2nd",0,"male",18,0,0
"388","2nd",1,"female",48,0,2
"389","2nd",1,"female",28,0,0
"390","2nd",0,"male",32,0,0
"391","2nd",0,"male",17,0,0
"392","2nd",0,"male",29,1,0
"393","2nd",1,"female",24,1,0
"394","2nd",0,"male",25,0,0
"395","2nd",0,"male",18,0,0
"396","2nd",1,"female",18,0,1
"397","2nd",1,"female",34,0,1
"398","2nd",0,"male",54,0,0
"399","2nd",1,"male",8,0,2
"400","2nd",0,"male",42,1,1
"401","2nd",1,"female",34,1,1
"402","2nd",1,"female",27,1,0
"403","2nd",1,"female",30,1,0
"404","2nd",0,"male",23,0,0
"405","2nd",0,"male",21,0,0
"406","2nd",0,"male",18,0,0
"407","2nd",0,"male",40,1,0
"408","2nd",1,"female",29,1,0
"409","2nd",0,"male",18,0,0
"410","2nd",0,"male",36,0,0
"412","2nd",0,"female",38,0,0
"413","2nd",0,"male",35,0,0
"414","2nd",0,"male",38,1,0
"415","2nd",0,"male",34,1,0
"416","2nd",1,"female",34,0,0
"417","2nd",0,"male",16,0,0
"418","2nd",0,"male",26,0,0
"419","2nd",0,"male",47,0,0
"420","2nd",0,"male",21,1,0
"421","2nd",0,"male",21,1,0
"422","2nd",0,"male",24,0,0
"423","2nd",0,"male",24,0,0
"424","2nd",0,"male",34,0,0
"425","2nd",0,"male",30,0,0
"426","2nd",0,"male",52,0,0
"427","2nd",0,"male",30,0,0
"428","2nd",1,"male",0.666700006,1,1
"429","2nd",1,"female",24,0,2
"430","2nd",0,"male",44,0,0
"431","2nd",1,"female",6,0,1
"432","2nd",0,"male",28,0,1
"433","2nd",1,"male",62,0,0
"434","2nd",0,"male",30,0,0
"435","2nd",1,"female",7,0,2
"436","2nd",0,"male",43,1,1
"437","2nd",1,"female",45,1,1
"438","2nd",1,"female",24,1,2
"439","2nd",1,"female",24,1,2
"440","2nd",0,"male",49,1,2
"441","2nd",1,"female",48,1,2
"442","2nd",1,"female",55,0,0
"443","2nd",0,"male",24,2,0
"444","2nd",0,"male",32,2,0
"445","2nd",0,"male",21,2,0
"446","2nd",0,"female",18,1,1
"447","2nd",1,"female",20,2,1
"448","2nd",0,"male",23,2,1
"449","2nd",0,"male",36,0,0
"450","2nd",1,"female",54,1,3
"451","2nd",0,"male",50,0,0
"452","2nd",0,"male",44,1,0
"453","2nd",1,"female",29,1,0
"454","2nd",0,"male",21,0,0
"455","2nd",1,"male",42,0,0
"456","2nd",0,"male",63,1,0
"457","2nd",0,"female",60,1,0
"458","2nd",0,"male",33,0,0
"459","2nd",1,"female",17,0,0
"460","2nd",0,"male",42,1,0
"461","2nd",1,"female",24,2,1
"462","2nd",0,"male",47,0,0
"463","2nd",0,"male",24,2,0
"464","2nd",0,"male",22,2,0
"465","2nd",0,"male",32,0,0
"466","2nd",1,"female",23,0,0
"467","2nd",0,"male",34,1,0
"468","2nd",1,"female",24,1,0
"469","2nd",0,"female",22,0,0
"471","2nd",0,"male",35,0,0
"472","2nd",1,"female",45,0,0
"473","2nd",0,"male",57,0,0
"475","2nd",0,"male",31,0,0
"476","2nd",0,"female",26,1,1
"477","2nd",0,"male",30,1,1
"479","2nd",1,"female",1,1,2
"480","2nd",1,"female",3,1,2
"481","2nd",0,"male",25,1,2
"482","2nd",1,"female",22,1,2
"483","2nd",1,"female",17,0,0
"485","2nd",1,"female",34,0,0
"486","2nd",0,"male",36,0,0
"487","2nd",0,"male",24,0,0
"488","2nd",0,"male",61,0,0
"489","2nd",0,"male",50,1,0
"490","2nd",1,"female",42,1,0
"491","2nd",0,"female",57,0,0
"493","2nd",1,"male",1,0,2
"494","2nd",0,"male",31,1,1
"495","2nd",1,"female",24,1,1
"497","2nd",0,"male",30,0,0
"498","2nd",0,"male",40,0,0
"499","2nd",0,"male",32,0,0
"500","2nd",0,"male",30,0,0
"501","2nd",0,"male",46,0,0
"502","2nd",1,"female",13,0,1
"503","2nd",1,"female",41,0,1
"504","2nd",1,"male",19,0,0
"505","2nd",0,"male",39,0,0
"506","2nd",0,"male",48,0,0
"507","2nd",0,"male",70,0,0
"508","2nd",0,"male",27,0,0
"509","2nd",0,"male",54,0,0
"510","2nd",0,"male",39,0,0
"511","2nd",0,"male",16,0,0
"512","2nd",0,"male",62,0,0
"513","2nd",0,"male",32.5,1,0
"514","2nd",1,"female",14,1,0
"515","2nd",1,"male",2,1,1
"516","2nd",1,"male",3,1,1
"517","2nd",0,"male",36.5,0,2
"518","2nd",0,"male",26,0,0
"519","2nd",0,"male",19,1,1
"520","2nd",0,"male",28,0,0
"521","2nd",1,"male",20,0,0
"522","2nd",1,"female",29,0,0
"523","2nd",0,"male",39,0,0
"524","2nd",1,"male",22,0,0
"526","2nd",0,"male",23,0,0
"527","2nd",1,"male",29,0,0
"528","2nd",0,"male",28,0,0
"530","2nd",1,"female",50,0,1
"531","2nd",0,"male",19,0,0
"533","2nd",0,"male",41,0,0
"534","2nd",1,"female",21,0,1
"535","2nd",1,"female",19,0,0
"536","2nd",0,"male",43,0,1
"537","2nd",1,"female",32,0,0
"538","2nd",0,"male",34,0,0
"539","2nd",1,"male",30,0,0
"540","2nd",0,"male",27,0,0
"541","2nd",1,"female",2,1,1
"542","2nd",1,"female",8,1,1
"543","2nd",1,"female",33,0,2
"544","2nd",0,"male",36,0,0
"545","2nd",0,"male",34,1,0
"546","2nd",1,"female",30,3,0
"547","2nd",1,"female",28,0,0
"548","2nd",0,"male",23,0,0
"549","2nd",1,"male",0.833299994,1,1
"550","2nd",1,"male",3,1,1
"551","2nd",1,"female",24,2,3
"552","2nd",1,"female",50,0,0
"553","2nd",0,"male",19,0,0
"554","2nd",1,"female",21,0,0
"555","2nd",0,"male",26,0,0
"556","2nd",0,"male",25,0,0
"557","2nd",0,"male",27,0,0
"558","2nd",1,"female",25,0,1
"559","2nd",1,"female",18,0,2
"560","2nd",1,"female",20,0,0
"561","2nd",1,"female",30,0,0
"562","2nd",0,"male",59,0,0
"563","2nd",1,"female",30,0,0
"564","2nd",0,"male",35,0,0
"565","2nd",1,"female",40,0,0
"566","2nd",0,"male",25,0,0
"567","2nd",0,"male",41,0,0
"568","2nd",0,"male",25,0,0
"569","2nd",0,"male",18.5,0,0
"570","2nd",0,"male",14,0,0
"571","2nd",1,"female",50,0,0
"572","2nd",0,"male",23,0,0
"573","2nd",1,"female",28,0,0
"574","2nd",1,"female",27,0,0
"575","2nd",0,"male",29,1,0
"576","2nd",0,"female",27,1,0
"577","2nd",0,"male",40,0,0
"578","2nd",1,"female",31,0,0
"579","2nd",0,"male",30,1,0
"580","2nd",0,"male",23,1,0
"581","2nd",1,"female",31,0,0
"583","2nd",1,"female",12,0,0
"584","2nd",1,"female",40,0,0
"585","2nd",1,"female",32.5,0,0
"586","2nd",0,"male",27,1,0
"587","2nd",1,"female",29,1,0
"588","2nd",1,"male",2,1,1
"589","2nd",1,"female",4,1,1
"590","2nd",1,"female",29,0,2
"591","2nd",1,"female",0.916700006,1,2
"592","2nd",1,"female",5,1,2
"593","2nd",0,"male",36,1,2
"594","2nd",1,"female",33,1,2
"595","2nd",0,"male",66,0,0
"597","2nd",1,"male",31,0,0
"599","2nd",1,"female",26,0,0
"600","2nd",0,"female",24,0,0
"601","3rd",0,"male",42,0,0
"602","3rd",0,"male",13,0,2
"603","3rd",0,"male",16,1,1
"604","3rd",1,"female",35,1,1
"605","3rd",1,"female",16,0,0
"606","3rd",1,"male",25,0,0
"607","3rd",1,"male",20,0,0
"608","3rd",1,"female",18,0,0
"609","3rd",0,"male",30,0,0
"610","3rd",0,"male",26,0,0
"611","3rd",0,"female",40,1,0
"612","3rd",1,"male",0.833299994,0,1
"613","3rd",1,"female",18,0,1
"614","3rd",1,"male",26,0,0
"615","3rd",0,"male",26,0,0
"616","3rd",0,"male",20,0,0
"617","3rd",0,"male",24,0,0
"618","3rd",0,"male",25,0,0
"619","3rd",0,"male",35,0,0
"620","3rd",0,"male",18,0,0
"621","3rd",0,"male",32,0,0
"622","3rd",1,"female",19,1,0
"623","3rd",0,"male",4,4,2
"624","3rd",0,"female",6,4,2
"625","3rd",0,"female",2,4,2
"626","3rd",1,"female",17,4,2
"627","3rd",0,"female",38,4,2
"628","3rd",0,"female",9,4,2
"629","3rd",0,"female",11,4,2
"630","3rd",0,"male",39,1,5
"631","3rd",1,"male",27,0,0
"632","3rd",0,"male",26,0,0
"633","3rd",0,"female",39,1,5
"634","3rd",0,"male",20,0,0
"635","3rd",0,"male",26,0,0
"636","3rd",0,"male",25,1,0
"637","3rd",0,"female",18,1,0
"638","3rd",0,"male",24,0,0
"639","3rd",0,"male",35,0,0
"640","3rd",0,"male",5,4,2
"641","3rd",0,"male",9,4,2
"642","3rd",1,"male",3,4,2
"643","3rd",0,"male",13,4,2
"644","3rd",1,"female",5,4,2
"645","3rd",0,"male",40,1,5
"646","3rd",1,"male",23,0,0
"647","3rd",1,"female",38,1,5
"648","3rd",1,"female",45,0,0
"649","3rd",0,"male",21,0,0
"650","3rd",0,"male",23,0,0
"651","3rd",0,"female",17,0,0
"652","3rd",0,"male",30,0,0
"653","3rd",0,"male",23,0,0
"654","3rd",1,"female",13,0,0
"655","3rd",0,"male",20,0,0
"656","3rd",0,"male",32,1,0
"657","3rd",1,"female",33,3,0
"658","3rd",1,"female",0.75,2,1
"659","3rd",1,"female",0.75,2,1
"660","3rd",1,"female",5,2,1
"661","3rd",1,"female",24,0,3
"662","3rd",1,"female",18,0,0
"663","3rd",0,"male",40,0,0
"664","3rd",0,"male",26,0,0
"665","3rd",1,"male",20,0,0
"666","3rd",0,"female",18,0,1
"667","3rd",0,"female",45,0,1
"668","3rd",0,"female",27,0,0
"669","3rd",0,"male",22,0,0
"670","3rd",0,"male",19,0,0
"671","3rd",0,"male",26,0,0
"672","3rd",0,"male",22,0,0
"674","3rd",0,"male",20,0,0
"675","3rd",1,"male",32,0,0
"676","3rd",0,"male",21,0,0
"677","3rd",0,"male",18,0,0
"678","3rd",0,"male",26,0,0
"679","3rd",0,"male",6,1,1
"680","3rd",0,"female",9,1,1
"684","3rd",0,"male",40,1,1
"685","3rd",0,"female",32,1,1
"686","3rd",0,"male",21,0,0
"687","3rd",1,"female",22,0,0
"688","3rd",0,"female",20,0,0
"689","3rd",0,"male",29,1,0
"690","3rd",0,"male",22,1,0
"691","3rd",0,"male",22,0,0
"692","3rd",0,"male",35,0,0
"693","3rd",0,"female",18.5,0,0
"694","3rd",1,"male",21,0,0
"695","3rd",0,"male",19,0,0
"696","3rd",0,"female",18,0,0
"697","3rd",0,"female",21,0,0
"698","3rd",0,"female",30,0,0
"699","3rd",0,"male",18,0,0
"700","3rd",0,"male",38,0,0
"701","3rd",0,"male",17,0,0
"702","3rd",0,"male",17,0,0
"703","3rd",0,"female",21,0,0
"704","3rd",0,"male",21,0,0
"705","3rd",0,"male",21,0,0
"708","3rd",0,"male",28,0,0
"709","3rd",0,"male",24,0,0
"710","3rd",1,"female",16,0,0
"711","3rd",0,"female",37,0,0
"712","3rd",0,"male",28,0,0
"713","3rd",0,"male",24,0,0
"714","3rd",0,"male",21,0,0
"715","3rd",1,"male",32,0,0
"716","3rd",0,"male",29,0,0
"717","3rd",0,"male",26,1,0
"718","3rd",0,"male",18,1,0
"719","3rd",0,"male",20,0,0
"720","3rd",1,"male",18,0,0
"721","3rd",0,"male",24,0,0
"722","3rd",0,"male",36,0,0
"723","3rd",0,"male",24,0,0
"724","3rd",0,"male",31,0,0
"725","3rd",0,"male",31,0,0
"726","3rd",1,"female",22,0,0
"727","3rd",0,"female",30,0,0
"728","3rd",0,"male",70.5,0,0
"729","3rd",0,"male",43,0,0
"730","3rd",0,"male",35,0,0
"731","3rd",0,"male",27,0,0
"732","3rd",0,"male",19,0,0
"733","3rd",0,"male",30,0,0
"734","3rd",1,"male",9,1,1
"735","3rd",1,"male",3,1,1
"736","3rd",1,"female",36,0,2
"737","3rd",0,"male",59,0,0
"738","3rd",0,"male",19,0,0
"739","3rd",1,"female",17,0,1
"740","3rd",0,"male",44,0,1
"741","3rd",0,"male",17,0,0
"742","3rd",0,"male",22.5,0,0
"743","3rd",1,"male",45,0,0
"744","3rd",0,"female",22,0,0
"745","3rd",0,"male",19,0,0
"746","3rd",1,"female",30,0,0
"747","3rd",1,"male",29,0,0
"748","3rd",0,"male",0.333299994,0,2
"749","3rd",0,"male",34,1,1
"750","3rd",0,"female",28,1,1
"751","3rd",0,"male",27,0,0
"752","3rd",0,"male",25,0,0
"753","3rd",0,"male",24,2,0
"754","3rd",0,"male",22,0,0
"755","3rd",0,"male",21,2,0
"756","3rd",0,"male",17,2,0
"759","3rd",1,"male",36.5,1,0
"760","3rd",1,"female",36,1,0
"761","3rd",1,"male",30,0,0
"762","3rd",0,"male",16,0,0
"763","3rd",1,"male",1,1,2
"764","3rd",1,"female",0.166700006,1,2
"765","3rd",0,"male",26,1,2
"766","3rd",1,"female",33,1,2
"767","3rd",0,"male",25,0,0
"770","3rd",0,"male",22,0,0
"771","3rd",0,"male",36,0,0
"772","3rd",1,"female",19,0,0
"773","3rd",0,"male",17,0,0
"774","3rd",0,"male",42,0,0
"775","3rd",0,"male",43,0,0
"777","3rd",0,"male",32,0,0
"778","3rd",1,"male",19,0,0
"779","3rd",1,"female",30,0,0
"780","3rd",0,"female",24,0,0
"781","3rd",1,"female",23,0,0
"782","3rd",0,"male",33,0,0
"783","3rd",0,"male",65,0,0
"784","3rd",1,"male",24,0,0
"785","3rd",0,"male",23,1,0
"786","3rd",1,"female",22,1,0
"787","3rd",0,"male",18,0,0
"788","3rd",0,"male",16,0,0
"789","3rd",0,"male",45,0,0
"791","3rd",0,"male",39,0,2
"792","3rd",0,"male",17,1,1
"793","3rd",0,"male",15,1,1
"794","3rd",0,"male",47,0,0
"795","3rd",1,"female",5,0,0
"797","3rd",0,"male",40.5,0,0
"798","3rd",0,"male",40.5,0,0
"800","3rd",0,"male",18,0,0
"804","3rd",0,"male",26,0,0
"807","3rd",0,"female",21,2,2
"808","3rd",0,"female",9,2,2
"810","3rd",0,"male",18,2,2
"811","3rd",0,"male",16,1,3
"812","3rd",0,"female",48,1,3
"815","3rd",0,"male",25,0,0
"818","3rd",0,"male",22,0,0
"819","3rd",1,"female",16,0,0
"821","3rd",1,"male",9,0,2
"822","3rd",0,"male",33,1,1
"823","3rd",0,"male",41,0,0
"824","3rd",1,"female",31,1,1
"825","3rd",0,"male",38,0,0
"826","3rd",0,"male",9,5,2
"827","3rd",0,"male",1,5,2
"828","3rd",0,"male",11,5,2
"829","3rd",0,"female",10,5,2
"830","3rd",0,"female",16,5,2
"831","3rd",0,"male",14,5,2
"832","3rd",0,"male",40,1,6
"833","3rd",0,"female",43,1,6
"834","3rd",0,"male",51,0,0
"835","3rd",0,"male",32,0,0
"837","3rd",0,"male",20,0,0
"838","3rd",0,"male",37,2,0
"839","3rd",0,"male",28,2,0
"840","3rd",0,"male",19,0,0
"841","3rd",0,"female",24,0,0
"842","3rd",0,"female",17,0,0
"845","3rd",0,"male",28,1,0
"846","3rd",1,"female",24,1,0
"847","3rd",0,"male",20,0,0
"848","3rd",0,"male",23.5,0,0
"849","3rd",0,"male",41,2,0
"850","3rd",0,"male",26,1,0
"851","3rd",0,"male",21,0,0
"852","3rd",1,"female",45,1,0
"854","3rd",0,"male",25,0,0
"856","3rd",0,"male",11,0,0
"858","3rd",1,"male",27,0,0
"860","3rd",0,"female",18,0,0
"861","3rd",1,"female",26,0,0
"862","3rd",0,"female",23,0,0
"863","3rd",1,"female",22,0,0
"864","3rd",0,"male",28,0,0
"865","3rd",0,"female",28,0,0
"867","3rd",1,"female",2,0,1
"868","3rd",1,"female",22,1,1
"869","3rd",0,"male",43,0,0
"870","3rd",0,"male",28,0,0
"871","3rd",1,"female",27,0,0
"874","3rd",0,"male",42,0,0
"876","3rd",0,"male",30,0,0
"878","3rd",0,"female",27,1,0
"879","3rd",0,"female",25,1,0
